mol_id,smiles,pred_lambda,pred_phi,dist_lambda,score_lambda,score_phi,combined_score
38,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3C(=O)O,515.24316,0.39824656,284.75684,0.0017347226,0.39824656,0.00069084734
54,C[n+]1c2ccccc2c(cc1)C=CC3=[N+](C)c4ccccc4C3(C)C,506.48132,0.4999018,293.51868,0.0013465014,0.4999018,0.00067311845
79,CCN(CC)c1ccc(cc1)C2=C(c3ccc(N(CC)CC)cc3)C(=O)c4ccccc42,514.3317,0.3891835,285.66827,0.0016902091,0.3891835,0.0006578015
11,Cc1cc(C)c2c(c1)C(=O)c3ccccc3C2=O,504.6978,0.49938166,295.3022,0.001277623,0.49938166,0.0006380215
86,CC1=C(C(=O)O)C=C2OC(=O)C=CC2=C1,505.88666,0.48162484,294.11334,0.0013231792,0.48162484,0.000637276
51,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3c(Cl)c(Cl)c(Cl)c(Cl)c3,518.2822,0.317637,281.71777,0.001890658,0.317637,0.00060054293
73,Nc1ccc(cc1)N=Nc2c(O)c(S(=O)(=O)O)cc3ccccc23,504.24872,0.44396827,295.75128,0.0012607779,0.44396827,0.0005597454
49,CC1=C(C)c2cc(C)c(C)cc2[N+](C)=C1,501.56723,0.45158595,298.43277,0.0011642351,0.45158595,0.0005257522
68,N#Cc1c(N)c(C)c(c(c1C#N)c2ccc(O)cc2)N,512.7944,0.31864384,287.20563,0.001617395,0.31864384,0.00051537296
94,CN1C2=C(C=CC(=C2)C(=O)O)C(=C3C=CC(=[N+](C)C)C=C3)C1=O,506.33875,0.32851827,293.66125,0.0013408771,0.32851827,0.00044050266
30,Oc1ccc(cc1)c2oc3cc(O)ccc3c(=O)c2c4ccccc4,503.21368,0.31725916,296.78632,0.0012227037,0.31725916,0.00038791395
89,CC1=C(C(=O)O)C=C2OC(=O)C(=CC2=C1)c3ccccc3,499.95044,0.32111898,300.04956,0.0011092487,0.32111898,0.00035620082
77,Oc1ccc(cc1)c2nc3ccc(O)cc3s2,492.46942,0.39667258,307.53058,0.00088374875,0.39667258,0.0003505589
67,CC1=C(C=CC(=C1)N(CC)CC)C=C2C(=O)O2,496.63904,0.3461312,303.36096,0.0010037837,0.3461312,0.00034744086
35,CC(=O)Oc1ccc(cc1)C2(c3ccc(OC(C)=O)cc3)OC(=O)c4ccccc24,493.8479,0.35170987,306.1521,0.0009219308,0.35170987,0.00032425218
60,CC1(C)C(=CC=CC=C2N(C)c3ccccc3C2(C)C)c4ccccc4N1C,482.14746,0.50600016,317.85254,0.0006399652,0.50600016,0.0003238225
29,O=C(O)c1ccccc1C(=O)c2ccccc2,497.57718,0.30659226,302.42282,0.001032716,0.30659226,0.00031662273
63,[N+](=O)([O-])c1ccc(cc1)C=Cc2ccc(N(C)C)cc2,489.445,0.37605032,310.555,0.0008048896,0.37605032,0.000302679
24,Nc1ccc(cc1)S(=O)(=O)Nc2ccccn2,487.75977,0.37235472,312.24023,0.0007637399,0.37235472,0.00028438217
