t1,t2,n,accuracy,balanced_accuracy,f1_macro,kappa
0.26,0.46,129,0.7441860465116279,0.6901234567901234,0.668031941458754,0.5911840968020743
0.26,0.48,129,0.7131782945736435,0.6654320987654322,0.6399640337170945,0.5483962531933011
0.26,0.5,129,0.7131782945736435,0.6728249475890986,0.6470054688542084,0.5502261590652091
0.26,0.52,129,0.6976744186046512,0.6710239651416122,0.6436041083099907,0.5320870535714286
0.26,0.54,129,0.6744186046511628,0.6379818594104308,0.6205405959744477,0.4970760233918129
0.26,0.56,129,0.6666666666666666,0.640096618357488,0.622439428241201,0.4896964121435142
0.26,0.58,129,0.6666666666666666,0.6426262626262627,0.6257297121747251,0.48997793306362636
0.26,0.6,129,0.689922480620155,0.6628352490421455,0.6573342670401494,0.5225316924215786
0.26,0.62,129,0.7131782945736435,0.6830999066293183,0.6878032609382622,0.5528805620608899
0.26,0.64,129,0.689922480620155,0.6515151515151515,0.656327783102631,0.5149464184997181
0.26,0.66,129,0.6821705426356589,0.6405723905723906,0.6421679783024321,0.5023990968106125
0.26,0.68,129,0.6976744186046512,0.6524240709300132,0.6564713828793929,0.5226302305721605
0.26,0.7000000000000001,129,0.7054263565891473,0.6450832365466511,0.6492279037722436,0.5268796448219284
0.26,0.72,129,0.6976744186046512,0.6153535353535353,0.6151606440174698,0.505455617811855
0.26,0.74,129,0.6976744186046512,0.6064814814814815,0.6052904342165001,0.5007442691277166
0.26,0.76,129,0.7131782945736435,0.6183574879227054,0.6213818860877685,0.5225090036014406
0.26,0.78,129,0.7286821705426356,0.6279761904761906,0.6384056685982765,0.5428311057108142
0.26,0.8,129,0.7131782945736435,0.5832199546485262,0.5686383333442157,0.5094048720320691
0.26,0.8200000000000001,129,0.7131782945736435,0.5522875816993463,0.5115170034956131,0.499213094113944
0.26,0.84,129,0.7209302325581395,0.5534188034188033,0.5150847224135556,0.5091427967445302
0.26,0.86,129,0.751937984496124,0.5575396825396826,0.5287892934951759,0.5503757760592528
0.26,0.88,129,0.7596899224806202,0.5584795321637427,0.532080548754935,0.5610800131708924
0.26,0.9,129,0.7674418604651163,0.5593869731800766,0.5353203781512605,0.5719500055303617
0.26,0.92,129,0.7829457364341085,0.5611111111111111,0.5416505063563887,0.5942028985507246
0.26,0.9400000000000001,129,0.7829457364341085,0.5611111111111111,0.5416505063563887,0.5942028985507246
0.26,0.96,129,0.8062015503875969,0.5634920634920635,0.5507887365472505,0.6289264756644806
0.26,0.98,129,0.8217054263565892,0.5649572649572651,0.5566552546944704,0.6530230382411415
0.26,1.0,129,0.8294573643410853,0.5656565656565656,0.5595238095238095,0.6653696498054475
0.28,0.3,129,0.8527131782945736,0.8536231884057971,0.5705727585509006,0.7070634636070277
0.28,0.32,129,0.8372093023255814,0.5760683760683761,0.5758196721311476,0.6925085130533484
0.28,0.34,129,0.8372093023255814,0.5760683760683761,0.5828196721311475,0.6987657066607362
0.28,0.36,129,0.8294573643410853,0.570940170940171,0.5798519301956636,0.6865473823724322
0.28,0.38,129,0.8294573643410853,0.6368055555555555,0.6268540202966433,0.6903099083369707
0.28,0.4,129,0.813953488372093,0.6195767195767196,0.614685218349635,0.6680604696043744
0.28,0.42,129,0.7674418604651163,0.5819216757741348,0.5870959484074237,0.6024653312788906
0.28,0.44,129,0.7674418604651163,0.681783350748868,0.656702025072324,0.6174377224199288
0.28,0.46,129,0.751937984496124,0.6790123456790124,0.6647085610200364,0.598365440747227
0.28,0.48,129,0.7209302325581395,0.6543209876543211,0.6365904231192898,0.554916618746406
0.28,0.5,129,0.7209302325581395,0.6631027253668763,0.6445394788944325,0.5568702290076336
0.28,0.52,129,0.7054263565891473,0.6636165577342048,0.6425168638283393,0.538678712591756
0.28,0.54,129,0.6821705426356589,0.6324263038548753,0.6193568962239272,0.5035201351731906
0.28,0.56,129,0.6744186046511628,0.6367149758454106,0.6226323850397508,0.49642160052049455
0.28,0.58,129,0.6744186046511628,0.6404040404040404,0.6266434517836098,0.49698263856652125
0.28,0.6,129,0.6976744186046512,0.6624521072796935,0.6591530054644809,0.5304274780660818
0.28,0.62,129,0.7209302325581395,0.6846872082166199,0.6905779980963699,0.5618867924528301
0.28,0.64,129,0.6976744186046512,0.6533670033670034,0.6590003803118557,0.5238500851788757
0.28,0.66,129,0.689922480620155,0.6424242424242425,0.644931799740812,0.5112247797669792
0.28,0.68,129,0.7054263565891473,0.6547632522165628,0.6597329810444564,0.5319392724147809
0.28,0.7000000000000001,129,0.7131782945736435,0.6480642663569492,0.6529320960480828,0.5367818322981366
0.28,0.72,129,0.7054263565891473,0.6188888888888889,0.6189573596863108,0.5158518518518518
0.28,0.74,129,0.7054263565891473,0.6101851851851852,0.6091005945630134,0.5113636363636364
0.28,0.76,129,0.7209302325581395,0.6222222222222222,0.6254228467343221,0.5334538878842676
0.28,0.78,129,0.7364341085271318,0.6321428571428571,0.6426611639726394,0.5542682926829268
0.28,0.8,129,0.7209302325581395,0.5875283446712019,0.5728292415091379,0.521039603960396
0.28,0.8200000000000001,129,0.7209302325581395,0.5568627450980392,0.5157914235435769,0.5113636363636365
0.28,0.84,129,0.7286821705426356,0.5581196581196581,0.5194471231115397,0.5215640563738475
0.28,0.86,129,0.7596899224806202,0.5626984126984127,0.5334754986894131,0.5638564728978078
0.28,0.88,129,0.7674418604651163,0.5637426900584795,0.5368411775074916,0.5748187211601845
0.28,0.9,129,0.7751937984496124,0.5647509578544061,0.5401530054644809,0.5859435528500276
0.28,0.92,129,0.7906976744186046,0.5666666666666668,0.5466201970655308,0.6086956521739131
0.28,0.9400000000000001,129,0.7906976744186046,0.5666666666666668,0.5466201970655308,0.6086956521739131
0.28,0.96,129,0.813953488372093,0.5693121693121693,0.5559478772593526,0.6441379310344828
0.28,0.98,129,0.8294573643410853,0.570940170940171,0.5619307832422586,0.6686901704412794
0.28,1.0,129,0.8372093023255814,0.5717171717171717,0.5648547598504458,0.6812566184256972
0.3,0.32,129,0.8372093023255814,0.5760683760683761,0.573509485094851,0.6905414667580535
0.3,0.34,129,0.8372093023255814,0.5760683760683761,0.580509485094851,0.6968781470292045
0.3,0.36,129,0.8294573643410853,0.570940170940171,0.5775417431593671,0.684596577017115
0.3,0.38,129,0.8294573643410853,0.6368055555555555,0.6282068369233503,0.6884400043912614
0.3,0.4,129,0.813953488372093,0.6195767195767196,0.6148260117054952,0.6661274668392105
0.3,0.42,129,0.7674418604651163,0.5819216757741348,0.5858968724822383,0.6003304760921202
0.3,0.44,129,0.7674418604651163,0.681783350748868,0.6573627233598539,0.6155756431906229
0.3,0.46,129,0.7441860465116279,0.6567901234567901,0.6482958098811756,0.5839929639401934
0.3,0.48,129,0.7131782945736435,0.6320987654320988,0.6212428858363407,0.5405717585908172
0.3,0.5,129,0.7131782945736435,0.642269392033543,0.6299909665763325,0.5426408585665006
0.3,0.52,129,0.6976744186046512,0.6450980392156863,0.6296486074104438,0.5246598639455782
0.3,0.54,129,0.6744186046511628,0.6157596371882086,0.6069456990866205,0.48949401677188353
0.3,0.56,129,0.6666666666666666,0.6222222222222222,0.6117883185018328,0.4826524902070509
0.3,0.58,129,0.6666666666666666,0.6270707070707071,0.6164936748181712,0.4833271236959762
0.3,0.6,129,0.689922480620155,0.6509578544061303,0.6498005649070575,0.5169896096602078
0.3,0.62,129,0.7131782945736435,0.6751633986928104,0.6820518048440674,0.5486524822695036
0.3,0.64,129,0.689922480620155,0.6441077441077442,0.6508573380451136,0.5105293113261241
0.3,0.66,129,0.6821705426356589,0.6331649831649832,0.6370081403709148,0.4978638564511535
0.3,0.68,129,0.6976744186046512,0.6459913223920015,0.6522131887985546,0.5186106592670557
